Date,Open,High,Low,Close,Volume
2023-01-03,148.5,148.6,148.19,148.26,44317853
2023-01-04,148.26,149.15,147.86,148.05,35593962
2023-01-05,148.05,148.12,147.53,147.66,48472028
2023-01-06,147.66,149.15,147.23,149.08,28868038
2023-01-09,149.08,150.44,149.06,149.65,37043090
2023-01-10,149.65,151.71,149.47,150.83,42413262
2023-01-11,150.83,152.88,150.6,152.73,40233921
2023-01-12,152.73,155.15,152.39,154.47,24369316
2023-01-13,154.47,154.84,148.32,148.86,45884110
2023-01-16,148.86,151.04,148.36,150.31,28980174
2023-01-17,150.31,150.48,150.12,150.19,45367726
2023-01-18,150.19,151.8,149.79,151.59,42306428
2023-01-19,151.59,152.02,150.04,150.32,42493937
2023-01-20,150.32,151.72,149.36,149.85,28110128
2023-01-23,149.85,152.39,149.55,151.52,45522356
2023-01-24,151.52,154.67,150.66,154.61,33211311
2023-01-25,154.61,157.64,154.59,156.73,40279136
2023-01-26,156.73,157.19,155.74,156.1,58892676
2023-01-27,156.1,157.91,155.75,157.52,30515770
2023-01-30,157.52,160.05,157.48,159.69,44743723
2023-01-31,159.69,159.87,156.97,158.13,28257692
2023-02-01,158.13,158.39,156.19,156.94,37833798
2023-02-02,156.94,157.68,156.26,157.57,46040196
2023-02-03,157.57,158.88,157.01,158.24,41429424
2023-02-06,158.24,161.04,157.01,161.02,34770112
2023-02-07,161.02,164.75,160.69,164.68,27843969
2023-02-08,164.68,165.62,163.86,164.4,44199954
2023-02-09,164.4,164.86,158.64,158.99,33050663
2023-02-10,158.99,159.0,156.57,157.66,28504093
2023-02-13,157.66,158.52,156.5,156.78,34721736
2023-02-14,156.78,157.84,156.64,157.06,27113441
2023-02-15,157.06,159.07,155.62,159.07,40527564
2023-02-16,159.07,163.02,158.99,162.17,40908310
2023-02-17,162.17,167.32,161.53,166.2,43322186
2023-02-20,166.2,170.32,166.17,169.83,33305153
2023-02-21,169.83,169.97,166.81,166.93,56182406
